小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,g,C#:fdim,38,
1,1,g,D:maj,3,
1,2,g,A:dom7,22,
1,3,g,D:maj,3,
2,0,g,G:min,32,
2,0,A#,G:min,32,
2,1,A#,X:fr6,0,
2,2,A#,F:maj,6,
2,3,A#,Bb:maj,11,
3,0,A#,X:fr6,0,
3,1,A#,F:maj,6,
3,2,G#,F:min,30,
3,3,G#,X:Fr6,0,
4,0,G#,Eb:maj,4,
4,1,G#,Ab:maj,9,
4,2,G#,X:fr6,0,
4,3,G#,Eb:maj,4,
4,3,g,Eb:maj,4,
5,0,g,Eb:maj,4,
5,1,g,A:dom7,22,
5,2,g,D:maj,3,
5,3,g,X:fr6,0,
6,0,g,D:maj,3,
6,1,g,G:min,32,
7,0,g,G:min,32,
8,0,g,G:min,32,
9,0,g,G:min,32,
10,0,g,G:min,32,
11,0,g,G:min,32,
12,0,g,G:min,32,
13,0,g,G:min,32,
14,0,g,G:min,32,
15,0,g,G:min,32,
16,0,g,G:min,32,
