小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,G:maj,8,
2,0,,G:maj,8,
2,1,,D:maj,3,
2,2,,G:maj,8,
2,3,,C:maj,1,
3,0,,F:maj,6,
3,1,,G:maj,8,
3,2,,C:maj,1,
3,3,,G:maj,8,
4,0,,D:dom7,15,
4,1,,E:min,29,
4,2,,C:maj,1,
5,0,,G:maj,8,
5,2,,D:maj,3,
5,3.5,,D:dom7,15,
6,0,,G:maj,8,
7,0,,D:dom7,15,
7,1,,B:maj,12,
7,2,,E:min,29,
7,3,,A:maj,10,
7,3.5,,A:dom7,22,
8,0,,D:maj,3,
8,1,,C#:dim,38,
8,2,,D:maj,3,
8,3,,B:maj,12,
9,0,,E:min,29,
9,1,,C:maj,1,
9,2,,G:maj,8,
9,3,,E:min,29,
10,0,,E:min,29,
10,1,,G:maj,8,
10,2,,D:maj,3,
10,3.5,,D:dom7,15,
11,0,,G:maj,8,
