小節,拍數(onset),調性,和弦級數,和弦編號,備註
1,0,C,C:maj,1,NaN
1,1,C,G:7,20,NaN
2,0,C,G:maj,8,NaN
2,1,C,C:maj,1,NaN
3,0,C,C:maj,1,NaN
3,1,C,D:maj,3,second
4,0,C,D:maj,3,second
4,1,C,G:maj,8,NaN
5,0,C,C:maj,1,NaN
5,1,C,G:7,20,NaN
5,2,C,C:maj,1,NaN
6,0,C,D:min,27,NaN
7,0,C,G:maj,8,NaN
8,0,C,C:maj,1,NaN
9,0,G,D:7,15,NaN
10,0,G,G:maj,8,NaN
11,0,G,D:7,15,NaN
12,0,G,G:maj,8,NaN
13,0,G,D:maj,3,NaN
13,2,C,D:dim7,39,半減七
14,0,C,G:7,20,NaN
15,0,C,C:maj,1,NaN
15,1,C,G:7,20,NaN
16,0,C,G:maj,8,NaN
16,1,C,C:maj,1,NaN
17,0,C,A:maj,10,second
17,1,C,D:min,27,NaN
17,2,C,C:7,13,second
18,0,C,F:maj,6,NaN
18,0.5,C,D:maj,3,second
18,1,C,G:maj,8,NaN
18,1.5,C,G#:dim7,45,second
18,2,C,A:min,34,NaN
19,0,C,D:7,15,second
19,1,C,C:maj,1,NaN
19,2,C,G:7,20,NaN
20,0,C,C#:dim7,38,second
20,1.5,C,A:7,22,second
20,2,C,D:min,27,NaN
20,2.5,C,A:maj,10,second
21,0,C,A:maj,10,second
21,2,C,D:min,27,NaN
21,2.5,C,C:maj,1,NaN
22,0,C,C:maj,1,NaN
22,2,C,F:maj,6,NaN
22,2.5,C,C:maj,1,NaN
23,0,C,D:7,15,second
23,1,C,C:maj,1,NaN
23,2,C,G:7,20,NaN
24,0,C,C:maj,1,NaN
25,0,G#,G#:maj,9,NaN
26,0,G#,D#:7,16,NaN
26,2,G#,C:dim7,37,second
27,0,G#,A#:min,35,NaN
27,2,G#,D#:7,16,NaN
28,0,G#,G#:maj,9,NaN
29,0,G#,C:maj,1,second
30,0,G#,E:dim7,41,second
30,1,G#,F:min,30,NaN
31,0,f,Fr,0,special: Fr
31,1,f,F:min,30,NaN
31,2.875,f,C:7,13,NaN
32,0,f,F:min,30,NaN
32,0,C#,F:min,30,NaN
33,0,C#,C#:maj,2,NaN
34,0,C#,G#:7,21,NaN
35,0,C#,D#:min,28,NaN
35,2,C#,E:dim7,41,second
36,0,C#,F:min,30,NaN
36,0,c,F:min,30,NaN
37,0,c,G:maj,8,NaN
38,0,c,F#:dim7,43,second
39,0,c,G:maj,8,NaN
40,0,c,F#:dim7,43,second
41,0,c,F:7,18,second
42,0,c,F:7,18,second
43,0,c,F:7,18,second
43,1,c,A#:maj,11,NaN
44,0,c,G:maj,8,NaN
44,1,c,C:min,25,NaN
45,0,c,C:min,25,NaN
46,0,c,C:min,25,NaN
47,0,c,A#:dim7,47,NaN
48,0,c,A#:dim7,47,NaN
49,0,c,A#:dim7,47,NaN
50,0,c,D:7,15,second
50,1,c,G:maj,8,NaN
51,0,c,C:maj,1,NaN
51,1,c,G:7,20,NaN
52,0,c,G:maj,8,NaN
52,1,c,C:maj,1,NaN
53,0,c,C:maj,1,NaN
53,1,c,D:maj,3,second
54,0,c,G:maj,8,NaN
54,1,c,G:maj,8,NaN
55,0,c,C:maj,1,NaN
55,1,c,G:7,20,NaN
55,2,c,C:maj,1,NaN
56,0,c,D:min,27,NaN
57,0,c,G:maj,8,NaN
58,0,c,C:maj,1,NaN
59,0,G,D:7,15,NaN
60,0,G,G:maj,8,NaN
61,0,G,D:7,15,NaN
62,0,G,G:maj,8,NaN
63,0,G,D:maj,3,NaN
63,2,C,D:dim7,39,半減七
64,0,C,G:7,20,NaN
65,0,C,C:maj,1,NaN
65,1,C,G:7,20,NaN
66,0,C,G:maj,8,NaN
66,1,C,C:maj,1,NaN
67,0,C,A:maj,10,second
67,1,C,D:min,27,NaN
67,2,C,C:7,13,second
68,0,C,F:maj,6,NaN
68,0.5,C,D:maj,3,second
68,1,C,G:maj,8,NaN
68,1.5,C,G#:dim7,45,second
68,2.5,C,A:min,34,NaN
69,0,C,D:7,15,second
69,1,C,C:maj,1,NaN
69,2,C,G:7,20,NaN
70,0,C,C#:dim7,38,second
70,1.5,C,A:7,22,second
70,2,C,D:min,27,NaN
70,2.5,C,A:maj,10,second
71,0,C,A:maj,10,second
71,2,C,D:min,27,NaN
71,2.5,C,C:maj,1,NaN
72,0,C,C:maj,1,NaN
72,2,C,F:maj,6,NaN
72,2.5,C,C:maj,1,NaN
73,0,C,D:7,15,second
73,1,C,C:maj,1,NaN
73,2,C,G:7,20,NaN
74,0,C,C:maj,1,NaN
75,0,C,G:7,20,NaN
76,0,C,D:min,27,NaN
76,2,C,G:7,20,NaN
77,0,C,C:maj,1,NaN
77,1,C,F:min,30,NaN
77,2,C,Fr,0,special: Fr
78,0,C,G:maj,8,NaN
79,0,C,G:7,20,NaN
79,1,C,C:maj,1,NaN
80,0,C,G:7,20,NaN
80,1,C,C:maj,1,NaN
81,0,C,G:7,20,NaN
81,1,C,C:maj,1,NaN
82,0,C,G:7,20,NaN
82,1,C,C:maj,1,NaN
82,2,C,F:maj,6,NaN
83,0,C,C:maj,1,NaN
83,2,C,G:7,20,NaN
84,0,C,C:maj,1,NaN
84,2,C,G:7,20,NaN
85,0,C,C:maj,1,NaN
85,2,C,G:7,20,NaN
86,0,C,C:maj,1,NaN
87,0,C,A:maj,10,second
87,2,C,D:min,27,NaN
88,0,C,G:7,20,NaN
88,2,C,D:maj,3,second
89,0,C,D:maj,3,second
89,2,C,G:maj,8,NaN
90,0,C,G:7,20,NaN
90,1,C,C:maj,1,NaN
