小節,拍數(onset),調性,和弦級數,和弦編號,備註
1,0,G,G:maj,8,NaN
2,0,G,G:maj,8,NaN
2,1,G,G:maj,8,NaN
2,3,G,G:maj,8,NaN
3,0,G,D:maj,3,NaN
3,2,G,G:maj,8,NaN
4,0,G,E:min7,29,NaN
4,1,G,D:7,15,NaN
4,2,G,G:maj,8,NaN
5,0,G,G:maj,8,NaN
6,0,G,G:maj,8,NaN
6,1,G,G:maj,8,NaN
6,3,G,G:maj,8,NaN
7,0,G,D:maj,3,NaN
7,2,G,G:maj,8,NaN
8,0,G,E:min7,29,NaN
8,1,G,D:7,15,NaN
8,2,G,G:maj,8,NaN
9,0,G,A:min,34,NaN
10,0,G,G:maj,8,NaN
11,0,G,C:maj,1,NaN
12,0,G,D:maj,3,NaN
12,1,G,G:maj,8,NaN
13,0,G,A:min,34,NaN
14,0,G,A:7,22,second
14,0,D,A:7,22,NaN
15,0,D,A:7,22,NaN
16,0,D,D:maj,3,NaN
17,0,D,A:7,22,NaN
18,0,D,D:maj,3,NaN
19,0,D,A:maj,10,NaN
19,1,D,D:maj,3,NaN
19,2,D,A:maj,10,NaN
19,3,D,D:maj,3,NaN
20,0,D,A:maj,10,NaN
21,0,D,D:maj,3,NaN
21,1,D,A:maj,10,NaN
21,2,D,D:maj,3,NaN
21,3,D,A:maj,10,NaN
22,0,D,D:maj,3,NaN
22,1,D,A:maj,10,NaN
23,0,D,A:maj,10,NaN
23,1,D,D:maj,3,NaN
23,2,D,A:maj,10,NaN
23,3,D,D:maj,3,NaN
24,0,D,A:maj,10,NaN
24,1,D,D:maj,3,NaN
25,0,D,E:min,29,NaN
25,2,D,D:maj,3,NaN
26,0,D,E:min,29,NaN
26,2,D,D:maj,3,NaN
27,0,D,E:min,29,NaN
27,2,D,E:7,17,second
28,0,D,A:maj,10,NaN
29,0,D,D:maj,3,NaN
29,1,D,A:maj,10,NaN
29,2,D,D:maj,3,NaN
29,3,D,A:maj,10,NaN
30,0,D,D:maj,3,NaN
30,1,D,A:maj,10,NaN
31,0,D,A:maj,10,NaN
31,1,D,D:maj,3,NaN
31,2,D,A:maj,10,NaN
31,3,D,D:maj,3,NaN
32,0,D,A:maj,10,NaN
32,1,D,D:maj,3,NaN
33,0,D,E:min,29,NaN
33,2,D,D:maj,3,NaN
34,0,D,E:min,29,NaN
34,2,D,D:maj,3,NaN
35,0,D,E:min,29,NaN
35,2,D,D:maj,3,NaN
35,3,D,A:7,22,NaN
36,0,D,D:maj,3,NaN
37,0,D,A:7,22,NaN
38,0,D,D:maj,3,NaN
39,0,D,A:7,22,NaN
40,0,D,D:maj,3,NaN
41,0,D,D:7,15,second
42,0,D,G:maj,8,NaN
42,2,D,D:maj,3,NaN
42,3,D,A:7,22,NaN
43,0,D,D:maj,3,NaN
44,0,D,G:maj,8,NaN
45,0,D,D:maj,3,NaN
45,1,D,E:min,29,NaN
45,2,D,D:maj,3,NaN
45,3,D,A:maj,10,NaN
46,0,D,D:maj,3,NaN
47,0,D,G:maj,8,NaN
48,0,D,D:maj,3,NaN
48,1,D,E:min,29,NaN
48,2,D,D:maj,3,NaN
48,3,D,A:maj,10,NaN
49,0,D,D:maj,3,NaN
49,2,D,A:7,22,NaN
50,0,D,D:maj,3,NaN
50,2,D,A:7,22,NaN
51,0,D,D:maj,3,NaN
51,1,D,A:7,22,NaN
51,2,D,D:maj,3,NaN
51,3,D,A:7,22,NaN
52,0,D,D:maj,3,NaN
53,0,d,D:min,27,NaN
53,0,a,D:min,27,NaN
54,0,a,E:maj,5,NaN
55,0,a,A:min,34,NaN
56,0,a,A:min,34,NaN
56,0,e,A:min,34,NaN
57,0,e,B:maj,12,NaN
58,0,e,E:min,29,NaN
58,2,e,B:7,24,special: Ger
59,0,e,B:maj,12,NaN
60,0,e,B:maj,12,NaN
61,0,e,B:maj,12,NaN
62,0,e,B:maj,12,NaN
63,0,e,B:maj,12,NaN
64,0,e,E:min,29,NaN
65,0,e,A:min,34,NaN
65,0,G,A:min,34,NaN
66,0,G,D:7,15,NaN
67,0,G,G:maj,8,NaN
68,0,G,G:maj,8,NaN
68,1,G,G:maj,8,NaN
68,3,G,G:maj,8,NaN
69,0,G,D:maj,3,NaN
69,2,G,G:maj,8,NaN
70,0,G,E:min7,29,NaN
70,1,G,D:7,15,NaN
70,2,G,G:maj,8,NaN
71,0,G,G:maj,8,NaN
72,0,G,G:maj,8,NaN
73,0,G,D:maj,3,NaN
73,2,G,G:maj,8,NaN
73,2,C,G:maj,8,NaN
74,0,C,C:maj,1,NaN
74,2,C,C:maj,1,NaN
74,3,C,G:7,20,NaN
75,0,C,C:maj,1,NaN
76,0,C,G:7,20,NaN
77,0,C,C:maj,1,NaN
78,0,C,G:maj,8,NaN
79,0,C,C:maj,1,NaN
80,0,C,E:7,17,second
81,0,C,A:min,34,NaN
81,0,G,A:min,34,NaN
81,2,G,A:7,22,second
82,0,G,D:maj,3,NaN
83,0,G,G:maj,8,NaN
