小節,拍數(onset),調性,和弦級數,和弦編號,備註
1,0,F,F:maj,6,NaN
2,0,F,F:maj,6,NaN
3,0,F,F:maj,6,NaN
4,0,F,F:maj,6,NaN
5,0,F,F:maj,6,NaN
6,0,F,A#:maj,11,NaN
7,0,F,F:maj,6,NaN
7,1.5,F,C:7,13,NaN
8,0,F,F:maj,6,NaN
9,0,F,F:maj,6,NaN
10,0,F,A#:maj,11,NaN
11,0,F,F:maj,6,NaN
11,1.5,F,C:7,13,NaN
12,0,F,F:maj,6,NaN
13,0,F,A:maj,10,second
14,0,F,A:maj,10,second
15,0,F,D:min,27,NaN
16,0,F,G:maj,8,second
17,0,F,G:maj,8,second
18,0,F,C:maj,1,NaN
18,0,C,C:maj,1,NaN
19,0,C,C:maj,1,NaN
19,1,C,C:maj,1,NaN
20,0,C,C:maj,1,NaN
21,0,C,A:maj,10,second
22,0,C,A:maj,10,second
22,1,C,D:min,27,NaN
23,0,C,C:maj,1,NaN
24,0,C,C:maj,1,NaN
25,0,C,G:maj,8,NaN
26,0,C,G:maj,8,NaN
27,0,C,E:maj,5,second
27,1.5,C,A:min,34,NaN
28,0,C,A:min,34,NaN
29,0,C,C:maj,1,NaN
30,0,C,C:maj,1,NaN
31,0,C,A:7,22,second
32,0,C,D:min,27,NaN
33,0,C,C:maj,1,NaN
34,0,C,C:maj,1,NaN
35,0,C,C:maj,1,NaN
35,1,C,G:maj,8,NaN
36,0,C,G:7,20,NaN
37,0,C,C:maj,1,NaN
38,0,F,F:maj,6,NaN
39,0,F,F:maj,6,NaN
40,0,F,F:maj,6,NaN
41,0,F,F:maj,6,NaN
42,0,F,F:maj,6,NaN
43,0,F,A#:maj,11,NaN
44,0,F,F:maj,6,NaN
44,1.5,F,C:7,13,NaN
45,0,F,F:maj,6,NaN
46,0,F,F:maj,6,NaN
47,0,F,A#:maj,11,NaN
48,0,F,F:maj,6,NaN
48,1.5,F,C:7,13,NaN
49,0,F,F:maj,6,NaN
50,0,F,A:maj,10,second
51,0,F,A:maj,10,second
52,0,F,A:maj,10,second
53,0,F,D:min,27,NaN
54,0,F,D:min,27,NaN
55,0,F,D:min,27,NaN
56,0,F,D:min,27,NaN
57,0,F,D:min,27,NaN
58,0,F,NCT,0,special: NCT
59,0,F,E:dim7,41,NaN
60,0,F,C:7,13,NaN
61,0,F,C:7,13,NaN
62,0,F,C:7,13,NaN
63,0,F,C:7,13,NaN
64,0,F,rest,0,special: rest
65,0,F,F:maj,6,NaN
66,0,F,F:maj,6,NaN
67,0,F,G:min,32,NaN
68,0,F,G:min,32,NaN
69,0,F,F:maj,6,NaN
70,0,F,F:maj,6,NaN
71,0,F,C:maj,1,NaN
72,0,F,NCT,0,special: NCT
73,0,F,A:maj,10,second
73,1.5,F,D:min,27,NaN
74,0,F,D:min,27,NaN
75,0,F,F:maj,6,NaN
75,1,F,F:maj,6,NaN
76,0,F,F:maj,6,NaN
77,0,F,G:min,32,NaN
78,0,F,G:min,32,NaN
79,0,F,F:maj,6,NaN
80,0,F,F:maj,6,NaN
81,0,F,F:maj,6,NaN
82,0,F,C:7,13,NaN
83,0,F,F:maj,6,NaN
84,0,F,F:maj,6,NaN
84,1.5,F,C:7,13,NaN
85,0,F,F:maj,6,NaN
