小節,拍數(onset),調性,和弦級數,和弦編號,備註
1,0,D,D:maj,3,NaN
2,0,D,D:maj,3,NaN
3,0,D,G:maj,8,NaN
3,1,D,D:maj,3,NaN
3,2,D,G:maj,8,NaN
3,3,D,D:maj,3,NaN
4,0,D,C#:dim,38,NaN
4,1,D,D:maj,3,NaN
4,2,D,A:maj,10,NaN
5,0,D,D:maj,3,NaN
6,0,D,D:maj,3,NaN
7,0,D,G:maj,8,NaN
7,1,D,D:maj,3,NaN
7,2,D,G:maj,8,NaN
7,3,D,D:maj,3,NaN
8,0,D,E:min,29,NaN
8,1.5,D,A:maj,10,NaN
8,2,D,D:maj,3,NaN
9,0,D,D:maj,3,NaN
10,0,D,D:maj,3,NaN
11,0,D,D:maj,3,NaN
12,0,D,D:maj,3,NaN
13,0,D,D:maj,3,NaN
13,1,D,G:maj,8,NaN
13,2,D,D:maj,3,NaN
14,0,D,D:maj,3,NaN
14,1,D,G:maj,8,NaN
14,2,D,D:maj,3,NaN
15,0,D,D:maj,3,NaN
16,0,D,A:maj,10,NaN
17,0,A,A:maj,10,NaN
17,2,A,D:maj,3,NaN
18,0,A,E:7,17,NaN
18,2,A,F#:min,31,NaN
19,0,A,B:min,36,NaN
20,0,A,B:min,36,NaN
21,0,A,B:min,36,NaN
21,2,A,D#:dim,40,second
22,0,A,E:7,17,NaN
23,0,A,A:maj,10,NaN
24,0,A,E:7,17,NaN
25,0,A,A:maj,10,NaN
26,0,A,B:min,36,NaN
26,2,A,B:min,36,NaN
27,0,A,E:7,17,NaN
27,2,A,A:maj,10,NaN
28,0,A,E:7,17,NaN
28,1,A,A:maj,10,NaN
28,2,A,E:7,17,NaN
28,3,A,A:maj,10,NaN
29,0,A,E:7,17,NaN
29,1,A/a,A:min,34,borrowed:a
29,2,A,E:7,17,NaN
29,3,A/a,A:min,34,borrowed:a
30,0,A,A#:maj,11,special: N
31,0,A,A#:maj,11,special: N
32,0,A,D#:dim7,40,second
33,0,A,A:maj,10,NaN
34,0,A,E:7,17,NaN
35,0,A,A:maj,10,NaN
36,0,A,A:maj,10,NaN
36,2,A,B:min,36,NaN
36,3,A,E:7,17,NaN
37,0,A,A:maj,10,NaN
38,0,A,A:maj,10,NaN
39,0,A,A:maj,10,NaN
39,1.5,A,E:7,17,NaN
39,2,A,A:maj,10,NaN
39,3.5,A,E:7,17,NaN
40,0,A,A:maj,10,NaN
41,0,A,A:maj,10,NaN
42,0,A,F#:7,19,second
43,0,b,B:min,36,NaN
44,0,E,B:7,24,NaN
45,0,E,E:maj,5,NaN
46,0,A,A:maj,10,NaN
46,2,D,A:7,22,NaN
47,0,D,D:maj,3,NaN
48,0,b,B:min,36,NaN
48,2,b,D:maj,3,second
48,2,b,D:7,15,second
49,0,b,G:maj,8,NaN
49,2,b,D:maj,3,NaN
49,3,b,D#:dim,40,second
50,0,b,E:min,29,NaN
50,1,b,C#:dim,38,NaN
50,2,b,F#:maj,7,NaN
50,3,b,B:min,36,NaN
51,0,b,F#:maj,7,NaN
51,1,b,B:min,36,NaN
51,2,b,F#:7,19,NaN
51,3,b,B:min,36,NaN
52,0,b,F#:maj,7,NaN
52,1,b,B:min,36,NaN
52,2,b,F#:maj,7,NaN
52,3,b,B:min,36,NaN
53,0,b,A:dim7,46,NaN
53,2,b,B:min,36,NaN
54,0,b,A:dim7,46,NaN
54,2,b,B:min,36,NaN
55,0,b,C:maj,1,special: N
56,0,b,F:dim7,42,second
57,0,b,B:min,36,NaN
58,0,b,F#:7,19,NaN
59,0,b,B:7,24,second
59,2,b,E:min,29,NaN
59,2,D,E:min,29,NaN
60,0,D,A:7,22,NaN
61,0,D,D:maj,3,NaN
62,0,D,D:maj,3,NaN
63,0,D,G:maj,8,NaN
63,1,D,D:maj,3,NaN
63,2,D,G:maj,8,NaN
63,3,D,D:maj,3,NaN
64,0,D,C#:dim,38,NaN
64,1,D,D:maj,3,NaN
64,2,D,A:maj,10,NaN
65,0,D,D:maj,3,NaN
66,0,D,D:maj,3,NaN
67,0,D,A:7,22,NaN
67,2,D,D:maj,3,NaN
68,0,D,A:7,22,NaN
68,2,D,D:maj,3,NaN
69,0,D,A:7,22,NaN
69,2,D,D:maj,3,NaN
70,0,D,E:min,29,NaN
71,0,D,E:min,29,NaN
72,0,D,A:maj,10,NaN
73,0,D,D:maj,3,NaN
73,2,D,A:maj,10,NaN
74,0,D,D:maj,3,NaN
75,0,D,D:maj,3,NaN
76,0,D,D:maj,3,NaN
76,1,D,G:maj,8,NaN
76,2,D,D:maj,3,NaN
76,3,D,C#:dim,38,NaN
77,0,D,D:maj,3,NaN
77,1,D,G:maj,8,NaN
77,2,D,D:maj,3,NaN
78,0,D,D:maj,3,NaN
78,2,D,C#:dim,38,NaN
79,0,D,A:maj,10,NaN
80,0,D,D:maj,3,NaN
80,2,D,E:min7,29,NaN
81,0,D,A:maj,10,NaN
81,2,D,D:maj,3,NaN
82,0,D,E:min,29,NaN
83,0,D,E:min,29,NaN
84,0,D,E:min,29,NaN
84,2,D,E:7,17,second
85,0,D,A:maj,10,NaN
86,0,D,D:maj,3,NaN
87,0,D,A:maj,10,NaN
88,0,D,D:maj,3,NaN
89,0,D,G:maj,8,NaN
89,2,D,E:min,29,NaN
90,0,D,A:7,22,NaN
90,2,D,D:maj,3,NaN
91,0,D,A:7,22,NaN
91,1,D,D:maj,3,NaN
91,2,D,A:7,22,NaN
91,3,D,D:maj,3,NaN
92,0,D,A:7,22,NaN
92,1,D/d,D:min,27,borrowed:d
92,2,D,A:7,22,NaN
92,3,D/d,D:min,27,borrowed:d
93,0,D,D#:maj,4,special: N
