小節,拍數(onset),調性,和弦級數,和弦編號,備註
1,0,F,F:maj,6,NaN
2,0,F,A#:maj,11,NaN
2,1,F,F:maj,6,NaN
3,0,F,F:maj,6,NaN
4,0,F,C:7,13,NaN
4,1,F,F:maj,6,NaN
5,0,F,C:maj,1,NaN
6,0,F,G:min,32,NaN
6,2,F,C:7,13,NaN
7,0,F,F:maj,6,NaN
7,1.5,F,A#:maj,11,NaN
8,0,F,C:maj,1,NaN
9,0,F,F:maj,6,NaN
10,0,F,A#:maj,11,NaN
10,1,F,F:maj,6,NaN
11,0,F,F:maj,6,NaN
11,2.5,F,G:maj,8,second
12,0,F,C:maj,1,NaN
12,1,F,F:maj,6,NaN
13,0,F,C:maj,1,NaN
14,0,F,G:min,32,NaN
14,0.5,F,C:7,13,NaN
14,2,F,F:maj,6,NaN
15,0,F,F:maj,6,NaN
15,1,F,F:maj,6,NaN
15,2,F,C:7,13,NaN
16,0,F,F:maj,6,NaN
17,0,F,F:maj,6,NaN
18,0,F,A#:maj,11,NaN
18,1,F,F:maj,6,NaN
19,0,F,F:maj,6,NaN
20,0,F,C:7,13,NaN
20,1,F,F:maj,6,NaN
21,0,F,C:7,13,NaN
22,0,F,G:min,32,NaN
22,2,F,C:7,13,NaN
23,0,F,F:maj,6,NaN
23,2,F,A#:maj,11,NaN
24,0,F,C:maj,1,NaN
25,0,F,F:maj,6,NaN
26,0,F,A#:maj,11,NaN
26,1,F,F:maj,6,NaN
27,0,F,F:maj,6,NaN
28,0,F,C:7,13,NaN
28,1,F,F:maj,6,NaN
29,0,F,C:maj,1,NaN
30,0,F,G:min,32,NaN
30,0.5,F,C:7,13,NaN
30,2,F,F:maj,6,NaN
31,0,F,F:maj,6,NaN
31,1,F,F:maj,6,NaN
31,2,F,C:7,13,NaN
32,0,F,F:maj,6,NaN
33,0,C,C:maj,1,NaN
34,0,C,G:7,20,NaN
35,0,C,G:7,20,NaN
36,0,C,C:maj,1,NaN
37,0,C,F:maj,6,NaN
38,0,C,F:maj,6,NaN
38,2,C,C:maj,1,second
39,0,C,D:min,27,NaN
39,1,C,C:maj,1,NaN
39,2,C,G:7,20,NaN
40,0,C,C:maj,1,NaN
40,0,F,C:maj,1,NaN
41,0,F,D:7,15,second
41,1,F,G:min,32,NaN
42,0,F,C:7,13,NaN
42,1,F,F:maj,6,NaN
43,0,F,G:min,32,NaN
43,1,F,C:7,13,NaN
43,2,F,D:min,27,NaN
43,2.5,F,G:min,32,NaN
44,0,F,C:maj,1,NaN
45,0,F,F:maj,6,NaN
46,0,F,A#:maj,11,NaN
46,1,F,F:maj,6,NaN
47,0,F,F:maj,6,NaN
48,0,F,C:7,13,NaN
48,1,F,F:maj,6,NaN
49,0,F,C:maj,1,NaN
50,0,F,G:min,32,NaN
50,2,F,C:7,13,NaN
51,0,F,F:maj,6,NaN
51,0.5,F,A#:maj,11,NaN
51,1,F,F:maj,6,NaN
51,2,F,C:7,13,NaN
52,0,F,F:maj,6,NaN
53,0,C,C:maj,1,NaN
54,0,C,G:7,20,NaN
55,0,C,G:7,20,NaN
56,0,C,C:maj,1,NaN
57,0,C,F:maj,6,NaN
58,0,C,F:maj,6,NaN
58,2,C,C:7,13,second
59,0,C,F:maj,6,NaN
59,0.5,C,D:min,27,NaN
59,1,C,C:maj,1,NaN
59,2,C,G:7,20,NaN
60,0,C,C:maj,1,NaN
60,0,F,C:maj,1,NaN
61,0,F,D:7,15,second
61,1,F,G:min,32,NaN
62,0,F,C:7,13,NaN
62,1,F,F:maj,6,NaN
63,0,F,G:min,32,NaN
63,1,F,C:7,13,NaN
63,2,F,D:min,27,NaN
63,2.5,F,G:min,32,NaN
64,0,F,C:maj,1,NaN
65,0,F,F:maj,6,NaN
66,0,F,A#:maj,11,NaN
66,1,F,F:maj,6,NaN
67,0,F,C:maj,1,NaN
67,1,F,F:maj,6,NaN
68,0,F,G:maj,8,second
68,0.5,F,C:7,13,NaN
68,1,F,F:maj,6,NaN
69,0,F,F:maj,6,NaN
69,1,F,C:7,13,NaN
70,0,F,C:maj,1,NaN
70,1,F,F:maj,6,NaN
71,0,F,F:maj,6,NaN
71,2,F,C:7,13,NaN
72,0,F,F:maj,6,NaN
73,0,F,C:maj,1,NaN
74,0,F,G:min,32,NaN
74,0.5,F,C:7,13,NaN
74,2,F,F:maj,6,NaN
75,0,F,F:maj,6,NaN
75,0.5,F,G:min,32,NaN
75,1,F,F:maj,6,NaN
75,2,F,C:7,13,NaN
76,0,F,F:maj,6,NaN
76,2,F,C:7,13,NaN
77,0,F,F:maj,6,NaN
77,2,F,C:7,13,NaN
78,0,F,F:maj,6,NaN
78,2,F,C:7,13,NaN
79,0,F,F:maj,6,NaN
