小節,拍數(onset),調性,和弦級數,和弦編號,備註
1,0,E,E:maj,5,NaN
2,0,E,E:maj,5,NaN
3,0,E,F#:min,31,NaN
4,0,E,E:maj,5,NaN
5,0,E,B:7,24,NaN
6,0,E,E:maj,5,NaN
7,0,E,B:7,24,NaN
8,0,E,E:maj,5,NaN
9,0,E,F#:min,31,NaN
9,1.5,E,F#:min,31,NaN
10,0,E,E:maj,5,NaN
10,1,E,B:7,24,NaN
11,0,E,E:maj,5,NaN
12,0,E,E:maj,5,NaN
13,0,E,F#:min,31,NaN
14,0,E,E:maj,5,NaN
15,0,E,B:7,24,NaN
16,0,E,C:dim,37,second
16,1,E,C#:min,26,NaN
17,0,E,F#:min,31,NaN
17,1,E,B:7,24,NaN
18,0,E,E:maj,5,NaN
19,0,c#,C#:min,26,NaN
20,0,c#,G#:maj,9,NaN
21,0,c#,C#:min,26,NaN
21,1,c#,C#:min,26,NaN
21,1.5,c#,C#:7,14,second
22,0,c#,F#:min,31,NaN
22,0,B,C#:min,26,NaN
23,0,B,B:maj,12,NaN
24,0,B,F#:7,19,NaN
25,0,B,B:maj,12,NaN
26,0,B,F#:7,19,NaN
27,0,B,B:maj,12,NaN
27,0.5,B,F#:maj,7,NaN
27,1,B,B:maj,12,NaN
27,1.5,B,F#:7,19,NaN
28,0,B,B:maj,12,NaN
29,0,B,E:maj,5,NaN
30,0,B,E:maj,5,NaN
31,0,B,B:maj,12,NaN
32,0,B,F#:7,19,NaN
33,0,B,B:maj,12,NaN
34,0,B,B:maj,12,NaN
35,0,B,B:maj,12,NaN
36,0,B,C#:min,26,NaN
37,0,B,B:maj,12,NaN
38,0,B,F#:7,19,NaN
39,0,B,B:maj,12,NaN
40,0,B,F#:7,19,NaN
41,0,B,B:maj,12,NaN
42,0,B,C#:min,26,NaN
42,1.5,B,C#:min,26,NaN
43,0,B,B:maj,12,NaN
43,1,B,F#:7,19,NaN
44,0,B,B:maj,12,NaN
45,0,B,B:maj,12,NaN
46,0,B,C#:min,26,NaN
47,0,B,B:maj,12,NaN
48,0,B,F#:7,19,NaN
49,0,B,G:dim,44,second
49,1,B,G#:min,33,NaN
50,0,B,C#:min,26,NaN
50,1,B,F#:7,19,NaN
51,0,e,E:min,29,NaN
52,0,e,B:maj,12,NaN
53,0,e,E:min,29,NaN
53,1,e,E:min,29,NaN
53,1.5,e,B:maj,12,NaN
54,0,e,E:min,29,NaN
54,1.5,e,B:maj,12,NaN
55,0,e,E:min,29,NaN
55,1.5,e,B:maj,12,NaN
56,0,e,E:min,29,NaN
56,1.5,e,E:min,29,NaN
57,0,e,A:min,34,NaN
57,0,G,A:min,34,NaN
57,1,G,G:maj,8,NaN
57,1.5,G,D:maj,3,NaN
58,0,G,G:maj,8,NaN
59,0,e,E:min,29,NaN
60,0,e,B:maj,12,NaN
61,0,e,E:min,29,NaN
61,0.5,e,B:maj,12,NaN
61,1,e,E:min,29,NaN
61,1.5,e,E:7,17,second
62,0,e,A:min,34,NaN
62,0.5,e,F:maj,6,special: N
62,1.5,e,E:maj,5,second
63,0,e,A:min,34,NaN
63,0.5,e,F:maj,6,special: N
63,1.5,e,E:maj,5,second
64,0,e,A:min,34,NaN
64,0.5,e,E:min,29,NaN
64,1,e,B:7,24,special: Ger
65,0,e,B:maj,12,NaN
66,0,E,E:maj,5,NaN
67,0,E,B:7,24,NaN
68,0,E,E:maj,5,NaN
69,0,E,B:7,24,NaN
70,0,E,E:maj,5,NaN
70,0.5,E,B:maj,12,NaN
70,1,E,E:maj,5,NaN
70,1.5,E,B:maj,12,NaN
71,0,E,E:maj,5,NaN
72,0,E,A:maj,10,NaN
73,0,E,A:maj,10,NaN
74,0,E,E:maj,5,NaN
75,0,E,E:maj,5,NaN
76,0,E,B:7,24,NaN
77,0,E,C:dim7,37,second
77,1,E,C#:min,26,NaN
78,0,E,F#:min7,31,NaN
78,1,E,B:7,24,NaN
79,0,E,C:dim7,37,second
79,1,E,C#:min,26,NaN
80,0,E,F#:min,31,NaN
80,1,E,B:7,24,NaN
81,0,E,E:maj,5,NaN
