小節,拍數(onset),調性,和弦級數,和弦編號,備註
1,0,C,C:maj,1,NaN
2,0,C,G:7,20,NaN
2,2,C,C:maj,1,NaN
3,0,C,F:maj,6,NaN
3,2,C,C:maj,1,NaN
4,0,C,G:7,20,NaN
4,2,C,C:maj,1,NaN
5,0,C,F:maj,6,NaN
6,0,C,C:maj,1,NaN
7,0,C,G:maj,8,NaN
8,0,C,C:maj,1,NaN
9,0,C,D:min,27,NaN
10,0,C,F:maj,6,NaN
10,3.5,C,D:7,15,second
11,0,C,G:maj,8,NaN
11,1,C,C:maj,1,NaN
11,2,C,G:maj,8,NaN
11,3,C,C:maj,1,NaN
12,0,C,G:maj,8,NaN
12,0,G,G:maj,8,NaN
13,0,G,D:maj,3,NaN
13,2,G,D:maj,3,NaN
14,0,G,G:maj,8,NaN
15,0,G,D:maj,3,NaN
16,0,G,G:maj,8,NaN
17,0,G,D:maj,3,NaN
18,0,G,G:maj,8,NaN
18,2,G,C:maj,1,NaN
19,0,G,F#:dim,43,NaN
19,2,G,B:min,36,NaN
20,0,G,E:min,29,NaN
20,2,G,A:min,34,NaN
21,0,G,D:maj,3,NaN
21,2,G,G:maj,8,NaN
22,0,G,A:min,34,NaN
23,0,G,A:min,34,NaN
24,0,G,G:maj,8,NaN
25,0,G,D:7,15,NaN
26,0,G,G:maj,8,NaN
26,3,G,D:7,15,NaN
27,0,G,G:maj,8,NaN
27,3,G,D:7,15,NaN
28,0,G,G:maj,8,NaN
29,0,g,G:min,32,NaN
29,3,g,D:7,15,NaN
30,0,g,G:min,32,NaN
30,3,g,D:7,15,NaN
31,0,g,G:min,32,NaN
31,0,d,G:min,32,NaN
32,0,d,A:maj,10,NaN
33,0,d,D:min,27,NaN
33,3,d,A:7,22,NaN
34,0,d,D:min,27,NaN
34,3,d,A:7,22,NaN
35,0,d,D:min,27,NaN
35,0,a,D:min,27,NaN
36,0,a,E:maj,5,NaN
37,0,a,A:min,34,NaN
37,2,a,D:min,27,NaN
38,0,a,G:maj,8,NaN
38,2,a,C:maj,1,NaN
39,0,a,F:maj,6,NaN
39,2,a,B:dim,48,NaN
40,0,a,E:maj,5,NaN
40,2,a,A:min,34,NaN
41,0,a,A#:maj,11,special: N
41,2,a,C:7,13,second
41,2,F,C:7,13,NaN
42,0,F,F:maj,6,NaN
43,0,F,C:7,13,NaN
43,2,F,F:maj,6,NaN
44,0,F,A#:maj,11,NaN
44,2,F,F:maj,6,NaN
45,0,F,C:7,13,NaN
45,2,F,F:maj,6,NaN
46,0,F,A#:maj,11,NaN
47,0,F,F:maj,6,NaN
48,0,F,C:maj,1,NaN
49,0,F,F:maj,6,NaN
50,0,F,F:maj,6,NaN
51,0,F,C:maj,1,NaN
51,0,C,C:maj,1,NaN
52,0,C,G:7,20,NaN
53,0,C,C:maj,1,NaN
54,0,C,D:min,27,NaN
55,0,C,F:maj,6,NaN
55,3.5,C,D:7,15,second
56,0,C,G:maj,8,NaN
56,1,C,C:maj,1,NaN
56,2,C,G:maj,8,NaN
56,3,C,C:maj,1,NaN
57,0,C,G:maj,8,NaN
58,0,C,G:maj,8,NaN
58,2,C,G:maj,8,NaN
59,0,C,C:maj,1,NaN
60,0,C,G:maj,8,NaN
61,0,C,C:maj,1,NaN
62,0,C,G:maj,8,NaN
63,0,C,C:maj,1,NaN
63,2,C,F:maj,6,NaN
64,0,C,B:dim,48,NaN
64,2,C,E:min,29,NaN
65,0,C,A:min,34,NaN
65,2,C,D:min,27,NaN
66,0,C,G:maj,8,NaN
66,2,C,C:maj,1,NaN
67,0,C,D:min,27,NaN
68,0,C,F#:dim7,43,second
69,0,C,C:maj,1,NaN
70,0,C,G:7,20,NaN
71,0,C,C:maj,1,NaN
71,3,C,G:7,20,NaN
72,0,C,C:maj,1,NaN
72,3,C,G:7,20,NaN
73,0,C,C:maj,1,NaN
