小節,拍數(onset),調性,和弦級數,和弦編號,備註
1,0,D#,D#:maj,4,NaN
2,0,D#,D#:maj,4,NaN
3,0,D#,D#:maj,4,NaN
4,0,D#,D#:maj,4,NaN
5,0,D#,D#:maj,4,NaN
5,3,D#,D:dim,39,NaN
6,0,D#,D#:maj,4,NaN
7,0,D#,A#:maj,11,NaN
8,0,D#,A#:maj,11,NaN
9,0,D#,D#:maj,4,NaN
10,0,D#,D#:maj,4,NaN
10,3,D#,D#:7,16,second
11,0,D#,G#:maj,9,NaN
12,0,D#,D#:maj,4,NaN
12,3,D#,A#:7,23,NaN
13,0,D#,D#:maj,4,NaN
14,0,D#,D#:maj,4,NaN
15,0,D#,D#:maj,4,NaN
16,0,D#,A#:7,23,NaN
17,0,D#,D#:maj,4,NaN
18,0,D#,D#:maj,4,NaN
19,0,D#,A#:maj,11,NaN
20,0,D#,A#:maj,11,NaN
21,0,D#,D#:maj,4,NaN
22,0,D#,A#:maj,11,NaN
23,0,D#,A#:maj,11,NaN
24,0,D#,A#:maj,11,NaN
25,0,D#,D#:maj,4,second
26,0,G#,D#:maj,4,NaN
27,0,G#,G#:maj,9,NaN
28,0,G#,G#:maj,9,NaN
29,0,a#,G#:dim7,45,NaN
30,0,a#,G#:dim7,45,NaN
31,0,a#,A#:min,35,NaN
32,0,a#,A#:min,35,NaN
33,0,a#,F:7,18,special: Ger
34,0,a#,F:7,18,special: Ger
35,0,a#,F:maj,6,NaN
36,0,a#,A#:min,35,NaN
37,0,a#,F:maj,6,NaN
38,0,a#,A#:min,35,NaN
39,0,a#,F:maj,6,NaN
40,0,a#,F:maj,6,NaN
41,0,A#,F:7,18,NaN
42,0,A#,F:7,18,NaN
42,3,A#,A#:maj,11,NaN
43,0,A#,F:7,18,NaN
44,0,A#,F:7,18,NaN
44,3,A#,A#:maj,11,NaN
45,0,A#,D:maj,3,second
45,3,A#,G:min,32,NaN
46,0,A#,A#:7,23,second
46,3,A#,D#:maj,4,NaN
47,0,A#,G:7,20,second
47,3,A#,C:min,25,NaN
48,0,A#,A#:maj,11,NaN
48,3,A#,F:7,18,NaN
49,0,A#,A#:maj,11,NaN
50,0,A#,A#:maj,11,NaN
51,0,A#,F:maj,6,NaN
52,0,A#,F:maj,6,NaN
53,0,A#,F:maj,6,NaN
54,0,A#,F:maj,6,NaN
55,0,A#,F:maj,6,NaN
55,3,A#,A#:min,35,NaN
56,0,A#,A#:maj,11,second
56,3,A#,D#:maj,4,NaN
57,0,A#,G:maj,8,second
57,3,A#,C:min,25,NaN
58,0,A#,A#:maj,11,NaN
58,3,A#,F:7,18,NaN
59,0,A#,A#:maj,11,NaN
59,3,A#,A#:maj,11,NaN
60,0,A#,A#:maj,11,NaN
61,0,A#,D#:maj,4,NaN
61,3,A#,C:min,25,NaN
62,0,A#,C:min,25,NaN
63,0,A#,F:maj,6,NaN
64,0,A#,F:7,18,NaN
65,0,A#,A#:maj,11,NaN
65,3,A#,F:maj,6,NaN
66,0,A#,C:min7,25,second
66,3,A#,C:7,13,second
67,0,A#,F:maj,6,NaN
67,3,A#,A#:maj,11,NaN
68,0,A#,A#:maj,11,NaN
69,0,A#,D#:maj,4,NaN
69,3,A#,C:min,25,NaN
70,0,A#,C:min,25,NaN
71,0,A#,F:maj,6,NaN
72,0,A#,A#:maj,11,NaN
72,3,A#,A:dim,46,NaN
73,0,A#,A#:maj,11,NaN
73,3,A#,A#:maj,11,NaN
74,0,A#,F:7,18,NaN
74,3,A#,A#:maj,11,NaN
75,0,A#,F:maj,6,NaN
76,0,A#,F:maj,6,NaN
77,0,A#,F:7,18,NaN
78,0,A#,A#:maj,11,NaN
78,3,A#,F:maj,6,NaN
79,0,A#,B:dim7,48,second
80,0,A#,B:dim7,48,second
81,0,A#,C:maj,1,second
81,0,C,C:maj,1,NaN
82,0,C,G:maj,8,NaN
83,0,C,C:maj,1,NaN
84,0,C,G:7,20,NaN
85,0,C,C:maj,1,NaN
86,0,C,G:7,20,NaN
87,0,C,C:maj,1,NaN
88,0,C,G:7,20,NaN
89,0,C,C:maj,1,NaN
89,3,C,C:maj,1,second
90,0,C,F:maj,6,NaN
90,0,A#,F:maj,6,NaN
91,0,A#,D:maj,3,second
91,3,A#,G:min,32,NaN
92,0,A#,C:min,25,NaN
92,3,A#,F:maj,6,NaN
93,0,A#,A#:maj,11,NaN
94,0,A#,A#:maj,11,NaN
95,0,A#,A#:maj,11,NaN
96,0,A#,A#:maj,11,NaN
97,0,A#,D#:maj,4,NaN
98,0,A#,F#:7,19,special: Ger
99,0,A#,A#:maj,11,NaN
100,0,A#,F:7,18,NaN
101,0,A#,A#:maj,11,NaN
102,0,A#,A#:maj,11,NaN
103,0,A#,A#:maj,11,NaN
104,0,A#,A#:maj,11,NaN
105,0,A#,D#:maj,4,NaN
106,0,A#,Ita,0,special: Ita
107,0,A#,A#:maj,11,NaN
108,0,A#,E:dim7,41,second
109,0,A#,A#:maj,11,NaN
110,0,A#,A#:maj,11,NaN
110,3,A#,F:7,18,NaN
111,0,A#,A#:maj,11,NaN
112,0,A#,A#:maj,11,NaN
113,0,A#,A#:maj,11,NaN
114,0,A#,A#:maj,11,NaN
115,0,A#,A#:maj,11,NaN
116,0,A#,A#:maj,11,NaN
117,0,A#,A#:maj,11,NaN
117,3,A#,F:7,18,NaN
118,0,A#,F:7,18,NaN
119,0,A#,A#:maj,11,NaN
120,0,A#,A#:maj,11,NaN
121,0,A#,A#:maj,11,NaN
122,0,A#,A#:maj,11,NaN
123,0,A#,D#:maj,4,NaN
124,0,A#,D#:maj,4,NaN
125,0,A#,D#:maj,4,NaN
126,0,A#,A#:maj,11,NaN
126,3,A#,F:7,18,NaN
127,0,A#,A#:maj,11,NaN
128,0,A#,F:7,18,NaN
129,0,A#,A#:maj,11,NaN
130,0,A#,F:7,18,NaN
131,0,A#,A#:maj,11,NaN
132,0,A#,F:7,18,NaN
132,5,A#,F:7,18,NaN
133,0,A#,A#:maj,11,NaN
134,0,A#,A#:maj,11,NaN
135,0,A#,A#:maj,11,NaN
136,0,A#,A#:maj,11,NaN
137,0,c,G:7,20,NaN
138,0,c,G:7,20,NaN
139,0,c,G:7,20,NaN
140,0,c,G:7,20,NaN
141,0,c,C:min,25,NaN
142,0,c,C:min,25,NaN
143,0,c,G:7,20,NaN
144,0,c,G:7,20,NaN
145,0,c,C:min,25,NaN
146,0,c,C:min,25,NaN
147,0,G#,D#:7,16,NaN
148,0,G#,D#:7,16,NaN
149,0,G#,G#:maj,9,NaN
150,0,G#,G#:maj,9,NaN
151,0,f,C:7,13,NaN
152,0,f,C:maj,1,NaN
153,0,f,F:min,30,NaN
153,2,f,F:min,30,NaN
154,0,f,F:min,30,NaN
154,2,f,C:maj,1,9b
155,0,f,F:min,30,NaN
156,0,f,F:min,30,NaN
156,0,f,C:maj,1,9b
157,0,f,F:min,30,NaN
158,0,g,F:dim7,42,NaN
159,0,g,G:min,32,NaN
160,0,g,G:min,32,NaN
