小節,拍數(onset),調性,和弦級數,和弦編號,備註
1,0,A#,A#:maj,11,NaN
2,0,A#,F:maj,6,NaN
3,0,A#,A#:maj,11,NaN
4,0,A#,D#:maj,4,NaN
4,1,A#,A#:maj,11,NaN
5,0,A#,F:maj,6,NaN
6,0,A#,A#:maj,11,NaN
7,0,A#,C:min,25,NaN
7,2,A#,A#:maj,11,NaN
7,3,A#,F:7,18,NaN
8,0,A#,A#:maj,11,NaN
9,0,A#,F:7,18,NaN
10,0,A#,A#:maj,11,NaN
10,2.5,A#,A#:maj,11,NaN
11,0,A#,C:min,25,NaN
11,2,A#,A#:maj,11,NaN
11,3,A#,F:7,18,NaN
12,0,A#,A#:maj,11,NaN
13,0,A#,D#:maj,4,NaN
13,2,A#,A:dim,46,NaN
14,0,A#,A#:maj,11,NaN
15,0,A#,D#:maj,4,NaN
15,2,A#,A:dim,46,NaN
16,0,A#,A#:maj,11,NaN
16,2,A#,F:maj,6,NaN
16,3,A#,A#:maj,11,NaN
16,3,F,A#:maj,11,NaN
17,0,F,C:7,13,NaN
17,2,F,F:maj,6,NaN
18,0,F,C:7,13,NaN
18,2,F,F:maj,6,NaN
18,3,F,C:maj,1,NaN
19,0,F,F:maj,6,NaN
19,1,F,C:maj,1,NaN
19,2,F,F:maj,6,NaN
19,3,F,B:dim,48,second
20,0,F,C:maj,1,NaN
21,0,F,F:maj,6,NaN
21,2,F,G:maj,8,second
22,0,F,C:maj,1,NaN
23,0,F,F:maj,6,NaN
23,2,F,G:maj,8,second
24,0,F,C:maj,1,NaN
25,0,F,C:maj,1,NaN
26,0,F,F:maj,6,NaN
27,0,F,C:maj,1,NaN
28,0,F,F:maj,6,NaN
29,0,F,C:maj,1,NaN
30,0,F,F:maj,6,NaN
31,0,F,F:maj,6,NaN
32,0,F,F:maj,6,NaN
32,2,F,A#:maj,11,NaN
32,3,F,G:min,32,NaN
33,0,F,C:maj,1,NaN
33,2,F,D:min,27,NaN
33,3,F,A#:maj,11,NaN
34,0,F,C:maj,1,NaN
34,2,F,F:maj,6,NaN
35,0,F,F:maj,6,NaN
35,3,F,B:dim7,48,second
36,0,F,F:maj,6,NaN
36,3,F,C:7,13,NaN
37,0,F,F:maj,6,NaN
38,0,F,C:maj,1,NaN
39,0,F,F:maj,6,NaN
40,0,F,C:maj,1,NaN
41,0,F,F:maj,6,NaN
42,0,F,F:maj,6,NaN
43,0,F,F:maj,6,second
44,0,F,A#:maj,11,NaN
44,1,F,F:7,18,second
44,2,F,A#:maj,11,NaN
44,3,F,C:7,13,NaN
45,0,F,F:maj,6,NaN
45,1,F,C:7,13,NaN
45,2,F,F:maj,6,NaN
45,3,F,C:7,13,NaN
46,0,F,F:maj,6,NaN
47,0,F,F:maj,6,NaN
48,0,F,F:maj,6,NaN
49,0,F,C:maj,1,NaN
50,0,F,C:maj,1,NaN
50,3,F,C:7,13,NaN
51,0,F,F:maj,6,NaN
52,0,F,F:maj,6,NaN
52,2,F,C:maj,1,NaN
53,0,F,F:maj,6,NaN
54,0,F,F:maj,6,NaN
54,2,F,C:maj,1,NaN
55,0,F,F:maj,6,NaN
56,0,f,F:min,30,NaN
56,0,c,F:min,30,NaN
57,0,c,A#:dim7,47,NaN
58,0,c,G:7,20,NaN
59,0,c,C:min,25,NaN
60,0,c,C:min,25,NaN
60,3,c,G:maj,8,NaN
61,0,c/C,C:maj,1,borrowed:C
62,0,c,C:7,13,second
63,0,c,F:min,30,NaN
63,0,f,F:min,30,NaN
63,3,f,C:maj,1,NaN
64,0,f,F:min,30,NaN
64,3,f,C:maj,1,NaN
65,0,a#,F:maj,6,NaN
66,0,a#,F:7,18,NaN
67,0,a#,A#:min,35,NaN
67,3,a#,F:maj,6,NaN
68,0,a#,A#:min,35,NaN
68,3,a#,F:maj,6,NaN
69,0,a#,A#:min,35,NaN
70,0,a#,D#:min,28,NaN
70,0,a#,A#:min,35,NaN
71,0,a#,C:dim,37,NaN
71,3,a#/A#,A#:maj,11,borrowed:A#
72,0,a#,D#:min,28,NaN
72,3,a#,A#:min,35,NaN
