小節,拍數(onset),調性,和弦級數,和弦編號,備註
1,0,F,F:maj,6,NaN
2,0,F,F:maj,6,NaN
2,1,F,C:7,13,NaN
3,0,F,F:maj,6,NaN
4,0,F,F:maj,6,NaN
4,1,F,C:7,13,NaN
5,0,F,F:maj,6,NaN
6,0,F,F:maj,6,NaN
6,1,F,C:7,13,NaN
7,0,F,F:maj,6,NaN
8,0,F,F:maj,6,NaN
8,1,F,C:7,13,NaN
9,0,F,C:7,13,NaN
9,1,F,D:min,27,NaN
10,0,F,F:7,18,second
11,0,F,A#:maj,11,NaN
12,0,F,F:maj,6,NaN
12,1,F,C:7,13,NaN
13,0,F,F:maj,6,NaN
14,0,F,F:maj,6,NaN
15,0,F,A:7,22,second
16,0,F,A:7,22,second
17,0,F,D:min,27,NaN
17,0,C,D:min,27,NaN
18,0,C,G:maj,8,NaN
19,0,C,C:maj,1,NaN
19,1,C,C:maj,1,NaN
20,0,C,F:maj,6,NaN
20,1.5,C,D:7,15,second
21,0,C,G:maj,8,NaN
22,0,C,C:maj,1,NaN
22,1.5,C,C:maj,1,NaN
23,0,C,F:maj,6,NaN
23,0.5,C,C:maj,1,NaN
23,1,C,G:7,20,NaN
24,0,C,C:maj,1,NaN
24,1.5,C,C:maj,1,NaN
25,0,C,F:maj,6,NaN
25,0.5,C,C:maj,1,NaN
25,1,C,G:7,20,NaN
26,0,C,C:maj,1,NaN
26,1,C,C:maj,1,NaN
27,0,C,D:min,27,NaN
27,1.5,C,C:maj,1,NaN
28,0,C,G:7,20,NaN
28,1.5,C,C:maj,1,NaN
29,0,C,F:maj,6,NaN
29,1,C,C:maj,1,NaN
29,1.5,C,G:7,20,NaN
30,0,C/c,G#:maj,9,borrowed:c
31,0,C/c,C:min,25,borrowed:c
32,0,C,F#:dim7,43,second
33,0,C,G:maj,8,NaN
33,1,C,G:maj,8,NaN
34,0,C,C:maj,1,NaN
34,1,C,C:maj,1,NaN
35,0,C,C:maj,1,NaN
36,0,C,C:maj,1,NaN
37,0,C,C:maj,1,NaN
38,0,C,C:maj,1,NaN
38,1,C,C:maj,1,NaN
39,0,C,C:maj,1,NaN
39,1,C/c,C:min,25,borrowed:c
40,0,C,D:7,15,second
40,1,C,G:7,20,NaN
41,0,C,C:maj,1,NaN
41,1.5,C,C:maj,1,NaN
42,0,C,F:maj,6,NaN
42,1,C,C:maj,1,NaN
42,1.5,C,G:maj,8,NaN
43,0,C,C:maj,1,NaN
43,1.5,C,C:maj,1,NaN
44,0,C,F:maj,6,NaN
44,1,C,C:maj,1,NaN
44,1.5,C,G:maj,8,NaN
45,0,C,C:maj,1,NaN
46,0,C,C:maj,1,NaN
47,0,C,C:maj,1,NaN
47,1.5,C,C:maj,1,NaN
48,0,C,C:maj,1,NaN
48,1,C,G:7,20,NaN
49,0,C,C:maj,1,NaN
50,0,C,C:maj,1,NaN
50,1,C,G:7,20,NaN
51,0,C,C:maj,1,NaN
51,0,F,C:maj,1,NaN
52,0,F,C:7,13,NaN
53,0,F,F:maj,6,NaN
53,0,A#,F:maj,6,NaN
54,0,A#,F:7,18,NaN
55,0,A#,A#:maj,11,NaN
55,1,A#,F:7,18,NaN
56,0,A#,A#:maj,11,NaN
56,0,g,A#:maj,11,NaN
56,0.75,g,G:min,32,NaN
56,1,g,D:7,15,NaN
57,0,g,G:min,32,NaN
57,0,F,G:min,32,NaN
57,0.75,F,C:maj,1,NaN
57,1,F,F:maj,6,NaN
57,1.5,F,D:min,27,NaN
57,1.5,d,D:min,27,NaN
58,0,d,E:min,29,NaN
58,0.75,d,A:maj,10,NaN
58,1,d,D:min,27,NaN
58,1.5,d,G#:dim7,45,second
59,0,d,A:maj,10,NaN
60,0,d,A:maj,10,NaN
61,0,d,A:maj,10,NaN
62,0,d,D:min,27,NaN
63,0,d,A:7,22,NaN
64,0,d,A:7,22,NaN
65,0,d,D:min,27,NaN
66,0,d,D:min,27,NaN
66,1,d,D:maj,3,second
67,0,d,G:min,32,NaN
67,1,d,E:maj,5,second
68,0,d,A:maj,10,NaN
68,1,d,A:maj,10,NaN
