小節,拍數(onset),調性,和弦級數,和弦編號,備註
1,0,E,E:maj,5,NaN
2,0,E,B:7,24,NaN
2,2,E,E:maj,5,NaN
3,0,E,A:maj,10,NaN
3,2,E,E:maj,5,NaN
4,0,E,B:7,24,NaN
4,2,E,E:maj,5,NaN
5,0,E,A:maj,10,NaN
6,0,E,E:maj,5,NaN
7,0,E,B:maj,12,NaN
8,0,E,E:maj,5,NaN
9,0,E,F#:min,31,NaN
10,0,E,A:maj,10,NaN
10,3.5,E,F#:7,19,second
11,0,E,B:maj,12,NaN
11,1,E,E:maj,5,NaN
11,2,E,B:maj,12,NaN
11,3,E,E:maj,5,NaN
12,0,E,B:maj,12,NaN
12,0,B,B:maj,12,NaN
13,0,B,F#:maj,7,NaN
13,2,B,F#:maj,7,NaN
14,0,B,B:maj,12,NaN
15,0,B,F#:maj,7,NaN
16,0,B,B:maj,12,NaN
17,0,B,F#:maj,7,NaN
18,0,B,B:maj,12,NaN
18,2,B,E:maj,5,NaN
19,0,B,A#:dim,47,NaN
19,2,B,D#:min,28,NaN
20,0,B,G#:min,33,NaN
20,2,B,C#:min,26,NaN
21,0,B,F#:maj,7,NaN
21,2,B,B:maj,12,NaN
22,0,B,C#:min,26,NaN
23,0,B,C#:min,26,NaN
24,0,B,B:maj,12,NaN
25,0,B,F#:7,19,NaN
26,0,B,B:maj,12,NaN
26,3,B,F#:7,19,NaN
27,0,B,B:maj,12,NaN
27,3,B,F#:7,19,NaN
28,0,B,B:maj,12,NaN
29,0,b,B:min,36,NaN
29,3,b,F#:7,19,NaN
30,0,b,B:min,36,NaN
30,3,b,F#:7,19,NaN
31,0,b,B:min,36,NaN
31,0,f#,B:min,36,NaN
32,0,f#,C#:maj,2,NaN
33,0,f#,F#:min,31,NaN
33,3,f#,C#:7,14,NaN
34,0,f#,F#:min,31,NaN
34,3,f#,C#:7,14,NaN
35,0,f#,F#:min,31,NaN
35,0,c#,F#:min,31,NaN
36,0,c#,G#:maj,9,NaN
37,0,c#,C#:min,26,NaN
37,2,c#,F#:min,31,NaN
38,0,c#,B:maj,12,NaN
38,2,c#,E:maj,5,NaN
39,0,c#,A:maj,10,NaN
39,2,c#,D#:dim,40,NaN
40,0,c#,G#:maj,9,NaN
40,2,c#,C#:min,26,NaN
41,0,c#,D:maj,3,special: N
41,2,c#,E:7,17,second
41,2,A,E:7,17,NaN
42,0,A,A:maj,10,NaN
43,0,A,E:7,17,NaN
43,2,A,A:maj,10,NaN
44,0,A,D:maj,3,NaN
44,2,A,A:maj,10,NaN
45,0,A,E:7,17,NaN
45,2,A,A:maj,10,NaN
46,0,A,D:maj,3,NaN
47,0,A,A:maj,10,NaN
48,0,A,E:maj,5,NaN
49,0,A,A:maj,10,NaN
50,0,A,A:maj,10,NaN
51,0,A,E:maj,5,NaN
51,0,E,E:maj,5,NaN
52,0,E,B:7,24,NaN
53,0,E,E:maj,5,NaN
54,0,E,F#:min,31,NaN
55,0,E,A:maj,10,NaN
55,3.5,E,F#:7,19,second
56,0,E,B:maj,12,NaN
56,1,E,E:maj,5,NaN
56,2,E,B:maj,12,NaN
56,3,E,E:maj,5,NaN
57,0,E,B:maj,12,NaN
58,0,E,B:maj,12,NaN
58,2,E,B:maj,12,NaN
59,0,E,E:maj,5,NaN
60,0,E,B:maj,12,NaN
61,0,E,E:maj,5,NaN
62,0,E,B:maj,12,NaN
63,0,E,E:maj,5,NaN
63,2,E,A:maj,10,NaN
64,0,E,D#:dim,40,NaN
64,2,E,G#:min,33,NaN
65,0,E,C#:min,26,NaN
65,2,E,F#:min,31,NaN
66,0,E,B:maj,12,NaN
66,2,E,E:maj,5,NaN
67,0,E,F#:min,31,NaN
68,0,E,A#:dim7,47,second
69,0,E,E:maj,5,NaN
70,0,E,B:7,24,NaN
71,0,E,E:maj,5,NaN
71,3,E,B:7,24,NaN
72,0,E,E:maj,5,NaN
72,3,E,B:7,24,NaN
73,0,E,E:maj,5,NaN
