小節,拍數(onset),調性,和弦級數,和弦編號,備註
1,0,G,G:maj,8,NaN
2,0,G,G:maj,8,NaN
3,0,G,C:maj,1,NaN
4,0,G,G:maj,8,NaN
5,0,G,D:7,15,NaN
6,0,G,G:maj,8,NaN
6,1,G,E:min,29,NaN
6,2,G,G:maj,8,NaN
7,0,G,A:min7,34,NaN
8,0,G,D:maj,3,NaN
9,0,G,G:maj,8,NaN
10,0,G,G:maj,8,NaN
11,0,G,C:maj,1,NaN
12,0,G,G:maj,8,NaN
13,0,G,D:7,15,NaN
14,0,G,G:maj,8,NaN
14,1,G,E:min,29,NaN
14,2,G,G:maj,8,NaN
15,0,G,A:min,34,NaN
15,1,G,G:maj,8,NaN
15,2,G,D:7,15,NaN
16,0,G,G:maj,8,NaN
17,0,D,D:maj,3,NaN
18,0,D,A:7,22,NaN
19,0,D,A:7,22,NaN
20,0,D,D:maj,3,NaN
21,0,D,D:maj,3,NaN
21,2,D,D:maj,3,NaN
22,0,D,E:min,29,NaN
22,2,D,E:min,29,NaN
23,0,D,D:maj,3,NaN
23,2,D,A:7,22,NaN
24,0,D,D:maj,3,NaN
25,0,G,G:maj,8,NaN
25,2,G,D:7,15,NaN
26,0,G,G:maj,8,NaN
27,0,G,C:maj,1,NaN
28,0,G,G:maj,8,NaN
29,0,G,D:7,15,NaN
30,0,G,G:maj,8,NaN
30,2,G,G:maj,8,NaN
31,0,G,A:min,34,NaN
31,2,G,D:7,15,NaN
32,0,G,G:maj,8,NaN
33,0,g,G:min,32,NaN
33,2,g,D:7,15,NaN
34,0,g,G:min,32,NaN
35,0,g,D:maj,3,NaN
36,0,g,G:min,32,NaN
37,0,g,F:maj,6,NaN
37,0,A#,F:maj,6,NaN
38,0,A#,A#:maj,11,NaN
38,1,A#,G:min,32,NaN
38,2,A#,A#:maj,11,NaN
39,0,A#,C:min,25,NaN
39,1,A#,A#:maj,11,NaN
39,2,A#,F:7,18,NaN
40,0,A#,A#:maj,11,NaN
40,0,g,A#:maj,11,NaN
41,0,g,F:min,30,second
41,1,g,G:maj,8,second
41,2,g,G:maj,8,second
42,0,g,C:min,25,NaN
42,2,g,C:min,25,NaN
43,0,g,C#:dim7,38,second
43,1,g,G:min,32,NaN
43,2,g,D:7,15,special: Ger
44,0,g,G:min,32,NaN
44,1,g,D:maj,3,NaN
45,0,g,F:dim,42,NaN
46,0,g,G:min,32,NaN
47,0,g,A:dim,46,NaN
47,1,g,G:min,32,NaN
47,2,g,D:7,15,NaN
48,0,g,G:min,32,NaN
49,0,G,G:maj,8,NaN
50,0,G,G:maj,8,NaN
51,0,G,C:maj,1,NaN
52,0,G,G:maj,8,NaN
53,0,G,D:7,15,NaN
54,0,G,G:maj,8,NaN
54,1,G,E:min,29,NaN
54,2,G,G:maj,8,NaN
55,0,G,A:min7,34,NaN
56,0,G,D:maj,3,NaN
57,0,G,G:maj,8,NaN
58,0,G,G:maj,8,NaN
59,0,G,C:maj,1,NaN
60,0,G,G:maj,8,NaN
61,0,G,D:7,15,NaN
62,0,G,G:maj,8,NaN
62,1,G,E:min,29,NaN
62,2,G,G:maj,8,NaN
63,0,G,A:min,34,NaN
63,1,G,G:maj,8,NaN
63,2,G,D:7,15,NaN
64,0,G,G:maj,8,NaN
65,0,G,F:maj,6,second
65,2,G,G:maj,8,second
66,0,G,C:maj,1,NaN
67,0,G,A:min,34,NaN
67,1,G,G:maj,8,NaN
67,2,G,D:7,15,NaN
68,0,G,G:maj,8,NaN
69,0,G,F:maj,6,second
69,1,G,G:maj,8,second
69,2,G,G:maj,8,second
70,0,G,C:maj,1,NaN
70,2,G,C#:dim7,38,second
71,0,G,G:maj,8,NaN
71,2,G,D:7,15,NaN
72,0,G,G:maj,8,NaN
72,2,G,D:7,15,NaN
73,0,G,G:maj,8,NaN
73,2,G,D:7,15,NaN
74,0,G,G:maj,8,NaN
